user_message,intent,response
hello aurora may wifi ba po,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde rooom price please,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pls hotel policy tomorrow,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
recommend good room lang,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
how much is room ngayon,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pls room for 4 guests tomorrow,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you what rooms do you have lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
aurora good evening please,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls ano mga room types,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
wifi details,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
aurora check in time tonight,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pls facilities list lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hi po today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls tell me more tonight,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
can you room for family,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hey aurora something random,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please suggest room tomorrow,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
room preference po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
can you yo aurora po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora balcony request,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please random question,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
aurora may villa ba today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pwede blah blah lang,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
hello aurora address lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pls room typess tonight,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pwede available rooms lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
please recommend under budget tonight,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
best room for couple please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pde gym available,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hey aurora suite price tonight,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
aurora book tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede may pool ba please,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hi aurora please,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
can you hello po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde reserve room tomorrow,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede room for family today,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you hm room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pwede blah blah tonight,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pwede reserve tomorrow po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hey aurora hello,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls yo aurora po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pwede restaurant available tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hey aurora cheapest room today,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
aurora room typess lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you wifi details lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hey aurora recommend under budget pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
aurora hotel policy pls,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
restaurant available ngayon,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede good day lang,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please how much is room today,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hey aurora book tonight today,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hey aurora hi aurora tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pwede hello there today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
map location pls,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hello aurora how do i reserve lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pde amenities list lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
kids allowed please,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please amenities list pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hello aurora reserve tomorrow po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
where is aurora po,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pde hi assistant tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde check in time,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pls amenities list tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please explain again tomorrow,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
can you do you have gym tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hello aurora available rooms,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
ano mga room types po,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hey aurora what amenities,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please cheap room suggestion please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pwede something random pls,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please pwede mag book lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pls recommend good room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hello aurora what amenities pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hey aurora may pool ba po,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hey aurora location of hotel lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
please where is aurora,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
please hotel location please,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
show me rooms tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls available rooms today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can i book now today,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pls room preference tonight,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde magkano deluxe lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pls hotel policy,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pwede wifi details tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pool details,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please do you like pizza today,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
rooom types tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hey aurora rooom price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
suite price pls,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
may pool ba tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde book room pls,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hey aurora best room for couple pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
check in time please,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
can you can i book now,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede recommend under budget today,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you room for family pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pwede kamusta tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora kumusta tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
can you late checkout po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
hey aurora hello there po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls good evening ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
kids allowed tomorrow,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
aurora pwede mag book po,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
aurora deluxe price ngayon,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde address pls,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pls list rooms available today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pwede extra bed request po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please can i check in early please,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please list rooms available today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
room suggestion please please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pwede mag book tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede may pool ba tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
may wifi ba pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
explain again tonight,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pls room list please ngayon,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can you what if aliens visit po,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pwede room suggestion please please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pls suite price ngayon,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
cheapest room please,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
can you hi pls,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey aurora cheap room option,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
list rooms available ngayon,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pwede magkano per night ngayon,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
tell me room options,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls yo aurora tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora room for family today,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hello aurora ano mga room types po,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
suggest room please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pls what rooms do you have tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hotel policy po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
can you room price ngayon,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hey aurora how to get there today,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
suggest best room lang,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
aurora late checkout po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde facilities list pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
something random please,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please budget room today,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
is pool free pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls suite price tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pls suite price tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
can you room for family pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
i dont understand po,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
aurora distance city ngayon,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hello aurora room types today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hey aurora hi po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls magkano per night,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pls recommend under budget please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hello again tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
aurora magkano room tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde may pool ba please,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede paano mag reserve tomorrow,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
aurora how to get there pls,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
suite price,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde hi po tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls room suggestion please pls,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
aurora show me rooms tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
suggest best room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
please recommend under budget,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
ano ibig sabihin po,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
aurora hotel location,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
can you hello po tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pls tell me room options tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pde late checkout tomorrow,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
aurora show me rooms pls,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
prce room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hello aurora tell me more,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pwede rooom types today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pwede recommend good room lang,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pwede is pool free lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
room price today,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
how to book tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pde tell me room options tonight,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
can i book now,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
aurora hi aurora,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pwede gym available today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
can you near airport,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
please is pool free,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
facilities list tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
aurora recommend good room po,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hello aurora yo aurora po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
extra bed request po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pde pwede mag book please,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
hey aurora ano mga room types today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hey aurora how to get there tonight,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
please prce room lang,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hello aurora do you have gym,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pet policy lang,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pwede room list please ngayon,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
do you have pool today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pls magkano room tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
recommend good room,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
pwede is pool free,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede map location please,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
aurora deluxe price tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
please budget room po,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
room for family today,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
book tonight today,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
deluxe price today,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pwede kumusta please,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora may wifi ba,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde good afternoon po,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
aurora price per night please,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hello aurora kumusta tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please hi ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey aurora good evening today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hey aurora suite price tonight,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde may cabin ba pls,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls pet policy po,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pls can i check in early,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
please where is aurora today,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hello aurora hello again,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please random question pls,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
location of hotel tonight,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pwede pwede mag book tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pde reserve tomorrow tonight,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede price ng room,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
please price ng room tonight,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hey aurora parking available today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde what if aliens visit lang,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
may wifi ba today,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hello aurora good day today,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please amenities list tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
aurora may pool ba,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hello aurora how to get there pls,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pde reserve room lang,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
can you good day please,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pwede location of hotel lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hello aurora hello tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please do you like pizza today,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
hello aurora what amenities ngayon,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede near airport,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
can you is pool free ngayon,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pde wifi details lang,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
may pool ba,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
hello aurora location of hotel lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pls rooom types po,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
hello,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pet policy tomorrow,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pool details po,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
please good morning tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please hi aurora tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora amenities list pls,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
can you magkano deluxe tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hello aurora extra bed request pls,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
hey aurora cheap room suggestion please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hello aurora magkano deluxe please,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hello aurora what if aliens visit ngayon,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
list rooms available tomorrow,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
best room for couple please,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
can you budget room ngayon,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
hey aurora yo aurora ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pwede ano mga room types today,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls where is aurora,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
hey aurora hello again ngayon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
balcony request ngayon,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
aurora amenities list tomorrow,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
sup aurora lang,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
hello aurora best room for couple lang,recommendation,"Tell me the number of guests, nights, and your budget so I can recommend the best room option."
hello aurora magkano per night please,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pwede may cabin ba lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
what amenities tonight,amenities,"Aurora amenities include Sky Infinity Pool, Zen Wellness Studio gym, Lumina Dining restaurant, parking, and complimentary WiFi."
pwede kamusta,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde near airport please,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
aurora distance city lang,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pwede balcony request,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
pls where is aurora ngayon,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pwede hello there tomorrow,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please may cabin ba lang,rooms,"Aurora offers Standard, Deluxe, Suite, Villa, and Cabin accommodations."
pls location of hotel tonight,location,"For the exact address and directions, please check the Aurora website location page or contact the front desk."
pls how to book tomorrow,reservation,"To reserve a room: sign in, open the Rooms page, choose your room and dates, then confirm the reservation."
pwede hm room pls,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde balcony request lang,policy,Policies depend on availability and room type. Please confirm specific requests with the front desk.
aurora random question lang,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
pls price per night tomorrow,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
kumusta tonight,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
please ano ibig sabihin lang,fallback,"I might not have the exact answer for that, but I can help with rooms, amenities, prices, or reservations."
please good afternoon,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
pde deluxe price tonight,price,Room prices vary depending on room type and dates. Standard rooms are usually the most affordable.
pde hi assistant lang,greeting,"Hello! Welcome to Aurora. I can help with rooms, amenities, prices, or reservations."
